"future","playerID","firstName","lastName","name","team","logo","playerURL","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/jaime-jaquez-odds-5960","400","0.0",4,"16.6","80.00",NA,NA,NA,"450","0.0",4.5,"12.3","90.00",NA,NA,NA,"450","0.0",4.5,"13.0","90.00",NA,NA,NA,"400","0.0",4,"15.7","80.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","450","0.0",4.5,NA,"90.00",2025-12-08
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/reed-sheppard-odds-6257","1000","0.0",10,"7.6","200.00",NA,NA,NA,"800","0.0",8,"7.5","160.00",NA,NA,NA,"1000","0.0",10,"6.5","200.00",NA,NA,NA,"900","0.0",9,"7.9","180.00",NA,NA,NA,"1000","0.0",10,"12.0","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1000","0.0",10,NA,"200.00",2025-12-08
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=7","/betting/nba/player/anthony-black-odds-5910","750","0.0",7.5,"9.8","150.00",NA,NA,NA,"1000","0.0",10,"6.2","200.00",NA,NA,NA,"1100","0.0",11,"5.9","220.00",NA,NA,NA,"1100","0.0",11,"6.6","220.00",NA,NA,NA,"1000","0.0",10,"12.0","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1100","0.0",11,NA,"220.00",2025-12-08
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/ajay-mitchell-odds-6289","1200","0.0",12,"6.4","240.00",NA,NA,NA,"1200","0.0",12,"5.2","240.00",NA,NA,NA,"1100","0.0",11,"5.9","220.00",NA,NA,NA,"1000","0.0",10,"7.2","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1200","0.0",12,NA,"240.00",2025-12-08
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/jerami-grant-odds-3588","1200","0.0",12,"6.4","240.00",NA,NA,NA,"1600","0.0",16,"4.0","320.00",NA,NA,NA,"1100","0.0",11,"5.9","220.00",NA,NA,NA,"1100","0.0",11,"6.6","220.00",NA,NA,NA,"1000","0.0",10,"12.0","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","1600","0.0",16,NA,"320.00",2025-12-08
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/naz-reid-odds-4806","1800","0.0",18,"4.4","360.00",NA,NA,NA,"1600","0.0",16,"4.0","320.00",NA,NA,NA,"1700","0.0",17,"4.0","340.00",NA,NA,NA,"1750","0.0",17.5,"4.3","350.00",NA,NA,NA,"1700","0.0",17,"7.3","340.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1800","0.0",18,NA,"360.00",2025-12-08
"Sixth Man","5391","Quentin","Grimes","Quentin Grimes","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/quentin-grimes-odds-5391","2200","0.0",22,"3.6","440.00",NA,NA,NA,"1800","0.0",18,"3.6","360.00",NA,NA,NA,"2200","0.0",22,"3.1","440.00",NA,NA,NA,"1750","0.0",17.5,"4.3","350.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2200","0.0",22,NA,"440.00",2025-12-08
"Sixth Man","5118","Onyeka","Okongwu","Onyeka Okongwu","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/onyeka-okongwu-odds-5118","1800","0.0",18,"4.4","360.00",NA,NA,NA,"1800","0.0",18,"3.6","360.00",NA,NA,NA,"2200","0.0",22,"3.1","440.00",NA,NA,NA,"1300","0.0",13,"5.6","260.00",NA,NA,NA,"2000","0.0",20,"6.3","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2200","0.0",22,NA,"440.00",2025-12-08
"Sixth Man","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=7","/betting/nba/player/collin-gillespie-odds-5732","2500","0.0",25,"3.2","500.00",NA,NA,NA,"2500","0.0",25,"2.6","500.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2025-12-08
"Sixth Man","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/dylan-harper-odds-6549","2500","0.0",25,"3.2","500.00",NA,NA,NA,"1800","0.0",18,"3.6","360.00",NA,NA,NA,"2200","0.0",22,"3.1","440.00",NA,NA,NA,"2250","0.0",22.5,"3.3","450.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2025-12-08
