"future","playerID","firstName","lastName","name","team","logo","playerURL","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","190","0.0",1.9,"28.2","38.00",NA,NA,NA,"185","0.0",1.85,"29.2","37.00",NA,NA,NA,"190","0.0",1.9,"28.7","38.00",NA,NA,NA,"175","0.0",1.75,"44.2","35.00",NA,NA,NA,"190","0.0",1.9,"28.1","38.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","190","0.0",1.9,NA,"38.00",2026-02-11
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","400","0.0",4,"16.4","80.00",NA,NA,NA,"300","0.0",3,"20.8","60.00",NA,NA,NA,"400","0.0",4,"16.6","80.00",NA,NA,NA,"300","0.0",3,"30.4","60.00",NA,NA,NA,"325","0.0",3.25,"19.2","65.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","400","0.0",4,NA,"80.00",2026-02-11
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","550","0.0",5.5,"12.6","110.00",NA,NA,NA,"500","0.0",5,"13.8","100.00",NA,NA,NA,"550","0.0",5.5,"12.8","110.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"480","0.0",4.8,"14.1","96.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","550","0.0",5.5,NA,"110.00",2026-02-11
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","1200","0.0",12,"6.3","240.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1100","0.0",11,"6.8","220.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1200","0.0",12,NA,"240.00",2026-02-11
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","1000","0.0",10,"7.4","200.00",NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,"1000","0.0",10,"7.6","200.00",NA,NA,NA,"1600","0.0",16,"7.1","320.00",NA,NA,NA,"1300","0.0",13,"5.8","260.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1600","0.0",16,NA,"320.00",2026-02-11
"Sixth Man","5337","Ayo","Dosunmu","Ayo Dosunmu","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/ayo-dosunmu-odds-5337","1500","0.0",15,"5.1","300.00",NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1800","0.0",18,"4.3","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","1800","0.0",18,NA,"360.00",2026-02-11
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/anfernee-simons-odds-4373","1500","0.0",15,"5.1","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1800","0.0",18,"4.3","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","1800","0.0",18,NA,"360.00",2026-02-11
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","2000","0.0",20,"3.9","400.00",NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"1600","0.0",16,"7.1","320.00",NA,NA,NA,"1600","0.0",16,"4.8","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2000","0.0",20,NA,"400.00",2026-02-11
"Sixth Man","3459","Tim","Hardaway","Tim Hardaway","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/tim-hardaway-odds-3459","2500","0.0",25,"3.1","500.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"2000","0.0",20,"5.8","400.00",NA,NA,NA,"1800","0.0",18,"4.3","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2026-02-11
"Sixth Man","4454","Grayson","Allen","Grayson Allen","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/grayson-allen-odds-4454","2500","0.0",25,"3.1","500.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2200","0.0",22,"3.5","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3000","0.0",30,NA,"600.00",2026-02-11
