"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","175","0.0",1.75,"28.6","35.00",NA,NA,NA,"175","0.0",1.75,"28.3","35.00",NA,NA,NA,"190","0.0",1.9,"28.1","38.00",NA,NA,NA,"180","0.0",1.8,"0.0","36.00",NA,NA,NA,"170","0.0",1.7,"31.5","34.00",NA,NA,NA,"190","0.0",1.9,"28.6","38.00",NA,NA,NA,"175","0.0",1.75,"30.2","35.00",NA,NA,NA,"165","0.0",1.65,"31.9","33.00",NA,NA,NA,"draftkings","190","0.0",1.9,NA,"38.00",2026-02-19
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","300","0.0",3,"19.6","60.00",NA,NA,NA,"275","0.0",2.75,"20.7","55.00",NA,NA,NA,"350","0.0",3.5,"18.1","70.00",NA,NA,NA,"300","0.0",3,"0.0","60.00",NA,NA,NA,"280","0.0",2.8,"22.4","56.00",NA,NA,NA,"325","0.0",3.25,"19.5","65.00",NA,NA,NA,"300","0.0",3,"20.8","60.00",NA,NA,NA,"300","0.0",3,"21.2","60.00",NA,NA,NA,"draftkings","350","0.0",3.5,NA,"70.00",2026-02-19
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","400","0.0",4,"15.7","80.00",NA,NA,NA,"500","0.0",5,"13.0","100.00",NA,NA,NA,"550","0.0",5.5,"12.5","110.00",NA,NA,NA,"550","0.0",5.5,"0.0","110.00",NA,NA,NA,"500","0.0",5,"14.2","100.00",NA,NA,NA,"525","0.0",5.25,"13.3","105.00",NA,NA,NA,"500","0.0",5,"13.8","100.00",NA,NA,NA,"450","0.0",4.5,"15.4","90.00",NA,NA,NA,"draftkings","550","0.0",5.5,NA,"110.00",2026-02-19
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","1000","0.0",10,"7.1","200.00",NA,NA,NA,"1200","0.0",12,"6.0","240.00",NA,NA,NA,"1200","0.0",12,"6.3","240.00",NA,NA,NA,"1100","0.0",11,"0.0","220.00",NA,NA,NA,"1300","0.0",13,"6.1","260.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"1000","0.0",10,"7.5","200.00",NA,NA,NA,"1500","0.0",15,"5.3","300.00",NA,NA,NA,"thescore","1500","0.0",15,NA,"300.00",2026-02-19
"Sixth Man","5337","Ayo","Dosunmu","Ayo Dosunmu","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/ayo-dosunmu-odds-5337","1200","0.0",12,"6.0","240.00",NA,NA,NA,"1500","0.0",15,"4.9","300.00",NA,NA,NA,"1300","0.0",13,"5.8","260.00",NA,NA,NA,"1500","0.0",15,"0.0","300.00",NA,NA,NA,"1300","0.0",13,"6.1","260.00",NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,"1800","0.0",18,"4.4","360.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"thescore","2000","0.0",20,NA,"400.00",2026-02-19
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","2000","0.0",20,"3.7","400.00",NA,NA,NA,"1200","0.0",12,"6.0","240.00",NA,NA,NA,"1200","0.0",12,"6.3","240.00",NA,NA,NA,"1400","0.0",14,"0.0","280.00",NA,NA,NA,"1500","0.0",15,"5.3","300.00",NA,NA,NA,"1400","0.0",14,"5.5","280.00",NA,NA,NA,"1600","0.0",16,"4.9","320.00",NA,NA,NA,"1200","0.0",12,"6.5","240.00",NA,NA,NA,"betrivers","2000","0.0",20,NA,"400.00",2026-02-19
"Sixth Man","3459","Tim","Hardaway","Tim Hardaway","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/tim-hardaway-odds-3459","3000","0.0",30,"2.5","600.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"0.0","400.00",NA,NA,NA,"1500","0.0",15,"5.3","300.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"1500","0.0",15,"5.3","300.00",NA,NA,NA,"betrivers","3000","0.0",30,NA,"600.00",2026-02-19
"Sixth Man","4123","Luke","Kennard","Luke Kennard","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=10","/betting/nba/player/luke-kennard-odds-4123",NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","3000","0.0",30,NA,"600.00",2026-02-19
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/anfernee-simons-odds-4373","3000","0.0",30,"2.5","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2250","0.0",22.5,"3.5","450.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","3000","0.0",30,NA,"600.00",2026-02-19
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","2000","0.0",20,"3.7","400.00",NA,NA,NA,"1800","0.0",18,"4.1","360.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"1500","0.0",15,"0.0","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1750","0.0",17.5,"4.5","350.00",NA,NA,NA,"1600","0.0",16,"4.9","320.00",NA,NA,NA,"3300","0.0",33,"2.5","660.00",NA,NA,NA,"thescore","3300","0.0",33,NA,"660.00",2026-02-19
